,Season,Team Name,Seed,Region,Year,Team
571,2018,Pennsylvania,16,Midwest,2018,Pennsylvania
572,2018,Seton Hall,8,Midwest,2018,Seton Hall
573,2018,NC State,9,Midwest,2018,NC State
574,2018,Clemson,5,Midwest,2018,Clemson
575,2018,New Mexico State,12,Midwest,2018,New Mexico State
576,2018,Auburn,4,Midwest,2018,Auburn
577,2018,Charleston,13,Midwest,2018,Charleston
578,2018,TCU,6,Midwest,2018,TCU
579,2018,Syracuse,11,Midwest,2018,Syracuse
580,2018,Arizona State,11,Midwest,2018,Arizona State
581,2018,Michigan State,3,Midwest,2018,Michigan State
582,2018,Bucknell,14,Midwest,2018,Bucknell
583,2018,Rhode Island,7,Midwest,2018,Rhode Island
584,2018,Oklahoma,10,Midwest,2018,Oklahoma
585,2018,Duke,2,Midwest,2018,Duke
586,2018,Iona,15,Midwest,2018,Iona
587,2017,Villanova,1,East,2017,Villanova
588,2017,Mount St. Mary's,16,East,2017,Mount St. Mary's
589,2017,New Orleans,16,East,2017,New Orleans
590,2017,Wisconsin,8,East,2017,Wisconsin
591,2017,Virginia Tech,9,East,2017,Virginia Tech
592,2017,Virginia,5,East,2017,Virginia
593,2017,UNC Wilmington,12,East,2017,UNC Wilmington
594,2017,Florida,4,East,2017,Florida
595,2017,East Tennessee State,13,East,2017,East Tennessee State
596,2017,SMU,6,East,2017,SMU
597,2017,USC,11,East,2017,USC
598,2017,Providence,11,East,2017,Providence
599,2017,Baylor,3,East,2017,Baylor
600,2017,New Mexico State,14,East,2017,New Mexico State
601,2017,South Carolina,7,East,2017,South Carolina
602,2017,Marquette,10,East,2017,Marquette
603,2017,Duke,2,East,2017,Duke
604,2017,Troy,15,East,2017,Troy
605,2017,Gonzaga,1,West,2017,Gonzaga
606,2017,South Dakota State,16,West,2017,South Dakota State
607,2017,Northwestern,8,West,2017,Northwestern
608,2017,Vanderbilt,9,West,2017,Vanderbilt
609,2017,Notre Dame,5,West,2017,Notre Dame
610,2017,Princeton,12,West,2017,Princeton
611,2017,West Virginia,4,West,2017,West Virginia
612,2017,Bucknell,13,West,2017,Bucknell
613,2017,Maryland,6,West,2017,Maryland
614,2017,Xavier,11,West,2017,Xavier
615,2017,Florida State,3,West,2017,Florida State
616,2017,Florida Gulf Coast,14,West,2017,Florida Gulf Coast
617,2017,Saint Mary's,7,West,2017,Saint Mary's
618,2017,VCU,10,West,2017,VCU
619,2017,Arizona,2,West,2017,Arizona
620,2017,North Dakota,15,West,2017,North Dakota
621,2017,Kansas,1,Midwest,2017,Kansas
622,2017,UC Davis,16,Midwest,2017,UC Davis
623,2017,North Carolina Central,16,Midwest,2017,North Carolina Central
624,2017,Miami,8,Midwest,2017,Miami
625,2017,Michigan State,9,Midwest,2017,Michigan State
626,2017,Iowa State,5,Midwest,2017,Iowa State
627,2017,Nevada,12,Midwest,2017,Nevada
628,2017,Purdue,4,Midwest,2017,Purdue
629,2017,Vermont,13,Midwest,2017,Vermont
630,2017,Creighton,6,Midwest,2017,Creighton
631,2017,Rhode Island,11,Midwest,2017,Rhode Island
632,2017,Oregon,3,Midwest,2017,Oregon
633,2017,Iona,14,Midwest,2017,Iona
634,2017,Michigan,7,Midwest,2017,Michigan
635,2017,Oklahoma State,10,Midwest,2017,Oklahoma State
636,2017,Louisville,2,Midwest,2017,Louisville
637,2017,Jacksonville State,15,Midwest,2017,Jacksonville State
638,2017,North Carolina,1,South,2017,North Carolina
639,2017,Texas Southern,16,South,2017,Texas Southern
640,2017,Arkansas,8,South,2017,Arkansas
641,2017,Seton Hall,9,South,2017,Seton Hall
642,2017,Minnesota,5,South,2017,Minnesota
643,2017,Middle Tennessee,12,South,2017,Middle Tennessee
644,2017,Butler,4,South,2017,Butler
645,2017,Winthrop,13,South,2017,Winthrop
646,2017,Cincinnati,6,South,2017,Cincinnati
647,2017,Kansas State,11,South,2017,Kansas State
648,2017,Wake Forest,11,South,2017,Wake Forest
649,2017,UCLA,3,South,2017,UCLA
650,2017,Kent State,14,South,2017,Kent State
651,2017,Dayton,7,South,2017,Dayton
652,2017,Wichita State,10,South,2017,Wichita State
653,2017,Kentucky,2,South,2017,Kentucky
654,2017,Northern Kentucky,15,South,2017,Northern Kentucky
655,2016,Kansas,1,South,2016,Kansas
656,2016,Austin Peay,16,South,2016,Austin Peay
657,2016,Colorado,8,South,2016,Colorado
658,2016,UConn,9,South,2016,UConn
659,2016,Maryland,5,South,2016,Maryland
